Month,Day,Hour,GHI
10,16,12,764
10,16,14,552
10,16,15,447
10,16,16,264
10,16,17,120
10,16,18,0
10,16,19,0
10,16,20,0
10,16,21,0
10,16,22,0
10,16,23,0
10,17,1,0
10,17,2,0
10,17,3,0
10,17,4,0
10,17,5,0
10,17,6,0
10,17,7,24
10,17,8,161
10,17,9,408
10,17,10,577
10,17,11,696
10,17,12,752
10,17,13,740
10,17,14,661
10,17,15,524
10,17,16,343
10,17,17,144
10,17,18,0
10,17,19,0
10,17,20,0
10,17,21,0
10,17,22,0
10,17,23,0
10,18,0,0
10,18,1,0
10,18,2,0
10,18,3,0
10,18,4,0
10,18,5,0
10,18,6,0
10,18,7,11
10,18,8,45
10,18,9,91
10,18,10,198
10,18,11,197
10,18,12,221
10,18,13,218
10,18,14,406
10,18,15,358
10,18,16,325
10,18,17,135
10,18,18,0
10,18,19,0
10,18,20,0
10,18,21,0
10,18,22,0
10,18,23,0
10,19,0,0
10,19,1,0
10,19,2,0
10,19,3,0
10,19,4,0
10,19,5,0
10,19,6,0
10,19,7,22
10,19,8,212
10,19,9,420
10,19,10,593
10,19,11,712
10,19,12,766
10,19,13,750
10,19,14,669
10,19,15,528
10,19,16,343
10,19,17,141
10,19,18,0
10,19,19,0
10,19,20,0
10,19,21,0
10,19,22,0
10,19,23,0
10,20,0,0
10,20,1,0
10,20,2,0
10,20,3,0
10,20,4,0
10,20,5,0
10,20,6,0
10,20,7,19
10,20,8,136
10,20,9,400
10,20,10,569
10,20,11,686
10,20,12,740
10,20,13,726
10,20,14,646
10,20,15,508
10,20,16,327
10,20,17,132
10,20,18,0
10,20,19,0
10,20,20,0
10,20,21,0
10,20,22,0
10,20,23,0
10,21,0,0
10,21,1,0
10,21,2,0
10,21,3,0
10,21,4,0
10,21,5,0
10,21,6,0
10,21,7,17
10,21,8,195
10,21,9,394
10,21,10,561
10,21,11,678
10,21,12,732
10,21,13,718
10,21,14,639
10,21,15,502
10,21,16,322
10,21,17,128
10,21,18,0
10,21,19,0
10,21,20,0
10,21,21,0
10,21,22,0
10,21,23,0
10,22,0,0
10,22,1,0
10,22,2,0
10,22,3,0
10,22,4,0
10,22,5,0
10,22,6,0
10,22,7,15
10,22,8,190
10,22,9,385
10,22,10,551
10,22,11,666
10,22,12,720
10,22,13,707
10,22,14,628
10,22,15,493
10,22,16,314
10,22,17,123
10,22,18,0
10,22,19,0
10,22,20,0
10,22,21,0
10,22,22,0
10,22,23,0
10,23,0,0
10,23,1,0
10,23,2,0
10,23,3,0
10,23,4,0
10,23,5,0
10,23,6,0
10,23,7,13
10,23,8,142
10,23,9,383
10,23,10,550
10,23,11,666
10,23,12,721
10,23,14,469
10,23,15,402
10,23,16,194
10,23,17,107
10,23,18,0
10,23,19,0
10,23,20,0
10,23,21,0
10,23,22,0
10,23,23,0
10,24,0,0
10,24,1,0
10,24,2,0
10,24,3,0
10,24,4,0
10,24,5,0
10,24,6,0
10,24,7,12
10,24,8,185
10,24,9,380
10,24,10,545
10,24,11,661
10,24,12,714
10,24,13,700
10,24,14,622
10,24,15,486
10,24,16,307
10,24,17,116
10,24,18,0
10,24,19,0
10,24,20,0
10,24,21,0
10,24,22,0
10,24,23,0
10,25,0,0
10,25,1,0
10,25,2,0
10,25,3,0
10,25,4,0
10,25,5,0
10,25,6,0
10,25,7,10
10,25,8,179
10,25,9,372
10,25,10,536
10,25,11,650
10,25,12,703
10,25,13,487
10,25,14,613
10,25,15,477
10,25,16,300
10,25,17,111
10,25,18,0
10,25,19,0
10,25,20,0
10,25,21,0
10,25,22,0
10,25,23,0
10,26,0,0
10,26,1,0
10,26,2,0
10,26,3,0
10,26,4,0
10,26,5,0
10,26,6,0
10,26,7,8
10,26,8,173
10,26,9,364
10,26,10,527
10,26,11,405
10,26,12,695
10,26,13,682
10,26,14,605
10,26,15,470
10,26,16,294
10,26,17,107
10,26,18,0
10,26,19,0
10,26,20,0
10,26,21,0
10,26,22,0
10,26,23,0
10,27,0,0
10,27,1,0
10,27,2,0
10,27,3,0
10,27,4,0
10,27,5,0
10,27,6,0
10,27,7,4
10,27,8,90
10,27,9,250
10,27,10,383
10,27,11,502
10,27,12,547
10,27,13,382
10,27,14,385
10,27,15,275
10,27,16,165
10,27,17,46
10,27,18,0
10,27,19,0
10,27,20,0
10,27,21,0
10,27,22,0
10,27,23,0
10,28,0,0
10,28,1,0
10,28,2,0
10,28,3,0
10,28,4,0
10,28,5,0
10,28,6,0
10,28,7,0
10,28,8,64
10,28,9,239
10,28,10,109
10,28,11,335
10,28,12,340
10,28,13,429
10,28,14,342
10,28,15,223
10,28,16,155
10,28,17,12
10,28,18,0
10,28,19,0
10,28,20,0
10,28,21,0
10,28,22,0
10,28,23,0
10,29,0,0
10,29,1,0
10,29,2,0
10,29,3,0
10,29,4,0
10,29,5,0
10,29,6,0
10,29,7,0
10,29,8,176
10,29,9,376
10,29,10,545
10,29,11,663
10,29,12,717
10,29,13,702
10,29,14,484
10,29,15,480
10,29,16,202
10,29,17,105
10,29,18,0
10,29,19,0
10,29,20,0
10,29,21,0
10,29,22,0
10,29,23,0
10,30,0,0
10,30,1,0
10,30,2,0
10,30,3,0
10,30,4,0
10,30,5,0
10,30,6,0
10,30,7,0
10,30,8,79
10,30,9,241
10,30,10,377
10,30,11,476
10,30,12,506
10,30,13,494
10,30,14,464
10,30,15,381
10,30,16,113
10,30,17,25
10,30,18,0
10,30,19,0
10,30,20,0
10,30,21,0
10,30,22,0
10,30,23,0
10,31,0,0
10,31,1,0
10,31,2,0
10,31,3,0
